train [0/1000] Loss: 0.0185, Best valid: inf, Learning rate: 0.000100 
valid [0/1000] Loss: 0.0102, Best valid: inf, Learning rate: 0.000100 
train [1/1000] Loss: 0.0121, Best valid: 0.0102, Learning rate: 0.000100 
valid [1/1000] Loss: 0.0093, Best valid: 0.0102, Learning rate: 0.000100 
train [2/1000] Loss: 0.0112, Best valid: 0.0093, Learning rate: 0.000100 
valid [2/1000] Loss: 0.0093, Best valid: 0.0093, Learning rate: 0.000100 
train [3/1000] Loss: 0.0107, Best valid: 0.0093, Learning rate: 0.000100 
valid [3/1000] Loss: 0.0088, Best valid: 0.0093, Learning rate: 0.000100 
train [4/1000] Loss: 0.0104, Best valid: 0.0088, Learning rate: 0.000100 
valid [4/1000] Loss: 0.0081, Best valid: 0.0088, Learning rate: 0.000100 
train [5/1000] Loss: 0.0102, Best valid: 0.0081, Learning rate: 0.000100 
valid [5/1000] Loss: 0.0086, Best valid: 0.0081, Learning rate: 0.000100 
train [6/1000] Loss: 0.0100, Best valid: 0.0081, Learning rate: 0.000100 
valid [6/1000] Loss: 0.0079, Best valid: 0.0081, Learning rate: 0.000100 
train [7/1000] Loss: 0.0099, Best valid: 0.0079, Learning rate: 0.000100 
valid [7/1000] Loss: 0.0082, Best valid: 0.0079, Learning rate: 0.000100 
train [8/1000] Loss: 0.0097, Best valid: 0.0079, Learning rate: 0.000100 
valid [8/1000] Loss: 0.0090, Best valid: 0.0079, Learning rate: 0.000100 
train [9/1000] Loss: 0.0096, Best valid: 0.0079, Learning rate: 0.000100 
valid [9/1000] Loss: 0.0095, Best valid: 0.0079, Learning rate: 0.000100 
train [10/1000] Loss: 0.0095, Best valid: 0.0079, Learning rate: 0.000100 
valid [10/1000] Loss: 0.0077, Best valid: 0.0079, Learning rate: 0.000100 
train [11/1000] Loss: 0.0095, Best valid: 0.0077, Learning rate: 0.000100 
valid [11/1000] Loss: 0.0096, Best valid: 0.0077, Learning rate: 0.000100 
train [12/1000] Loss: 0.0094, Best valid: 0.0077, Learning rate: 0.000100 
valid [12/1000] Loss: 0.0077, Best valid: 0.0077, Learning rate: 0.000100 
train [13/1000] Loss: 0.0093, Best valid: 0.0077, Learning rate: 0.000100 
valid [13/1000] Loss: 0.0119, Best valid: 0.0077, Learning rate: 0.000100 
train [14/1000] Loss: 0.0093, Best valid: 0.0077, Learning rate: 0.000100 
valid [14/1000] Loss: 0.0094, Best valid: 0.0077, Learning rate: 0.000100 
train [15/1000] Loss: 0.0092, Best valid: 0.0077, Learning rate: 0.000100 
valid [15/1000] Loss: 0.0088, Best valid: 0.0077, Learning rate: 0.000100 
train [16/1000] Loss: 0.0092, Best valid: inf, Learning rate: 0.000100 
valid [16/1000] Loss: 0.0077, Best valid: inf, Learning rate: 0.000100 
train [17/1000] Loss: 0.0087, Best valid: 0.0077, Learning rate: 0.000080 
valid [17/1000] Loss: 0.0084, Best valid: 0.0077, Learning rate: 0.000080 
train [18/1000] Loss: 0.0087, Best valid: 0.0077, Learning rate: 0.000080 
valid [18/1000] Loss: 0.0075, Best valid: 0.0077, Learning rate: 0.000080 
